Part Name, Quantity, Source, Catalog Number, Link
Teensy 4.1, 1, PJRC, Teensy4.1, `Teensy 4.1 <https://www.pjrc.com/store/teensy41.html>`_
AD7766 ADC, 1, Digikey, AD7766BRUZ-ND, `AD7766BRUZ-ND <https://www.digikey.com/product-detail/en/analog-devices-inc/AD7766BRUZ/AD7766BRUZ-ND/1680408>`_
ADR445A Voltage Referenc, 1, Digikey, ADR445ARZ, `ADR445ARZ <https://www.digikey.com/product-detail/en/analog-devices-inc/ADR445ARZ/ADR445ARZ-ND/1217610>`_
ADP3330 5V LDO, 1, Digikey, ADP3330ARTZ-5-RL7CT-ND, `ADP3330ARTZ-5-RL7CT-ND <https://www.digikey.com/product-detail/en/analog-devices-inc/ADP3330ARTZ-5-RL7/ADP3330ARTZ-5-RL7CT-ND/2467797>`_
ADP3330 2.5V LDO , 2, Digikey, ADP3330ARTZ-2.5-R7CT-ND, `ADP3330ARTZ-2.5-R7CT-ND <https://www.digikey.com/product-detail/en/analog-devices-inc/ADP3330ARTZ-2-5-R7/ADP3330ARTZ-2-5-R7CT-ND/1012896>`_
ADA4941 S-D Driver, 1, Digikey, ADA4941-1YRZ-ND, `ADA4941-1YRZ-ND <https://www.digikey.com/product-detail/en/analog-devices-inc/ADA4941-1YRZ/ADA4941-1YRZ-ND/1120051>`_
NFL21 3-terminal EMI Filter, 10, Digikey, 490-6957-1-ND, `490-6957-1-ND <https://www.digikey.com/product-detail/en/murata-electronics/NFL21SP157X1C3D/490-6957-1-ND/3846154>`_
Banana Jack, 2, Digikey, 36-575-4-ND, `36-575-4-ND <https://www.digikey.com/en/products/detail/keystone-electronics/575-4/318493?s=N4IgTCBcDaIMwDYC0BWA7CpAWJA5AIiALoC%2BQA>`_
BNC Jack, 1, Digikey, A97555-ND, `A97555-ND <https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/1-1634612-0/A97555-ND/1755942>`_
SMA Jack, 2, Digikey, CON-SMA-EDGE-S-ND, `CON-SMA-EDGE-S-ND <https://www.digikey.com/products/en?keywords=CON-SMA-EDGE-S-ND%0>`_
Teensy Socket, 1, Digikey, ED3648-ND, `ED3648-ND <https://www.digikey.com/product-detail/en/mill-max-manufacturing-corp/110-93-648-41-001000/ED3648-ND/81812>`_
Rectifying Diode, 1, Digikey, 1655-2135-2-ND, `1655-2135-2-ND <https://www.digikey.com/en/products/detail/smc-diode-solutions/SK220ATR/5993505>`_
15V TVS Protection Diode, 1, Digikey, 727-3813-2-ND, `727-3813-2-ND <https://www.digikey.com/en/products/detail/nexperia-usa-inc/PESD15VL2BT215/1157421?s=N4IgTCBcDaIAoFEDKARAjAVgGoBkwCEAVEAXQF8g>`_
Header pins, 3, Digikey, 732-5331-ND, `732-5331-ND <https://www.digikey.com/product-detail/en/w%C3%BCrth-elektronik/61302411121/732-5331-ND/4846867>`_
100pF capacitor, 3, Digikey,399-1122-1-ND, `399-1122-1-ND <https://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397>`_
1nF capacitor, 3, Digikey, 478-1371-2-ND, `478-1371-2-ND <https://www.digikey.com/en/products/detail/avx-corporation/08055C102KAT2A/563481>`_
2.2nF capacitor, 2, Digikey, 1276-2484-1-ND, `1276-2484-1-ND <https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B222KDCNFNC/3888142>`_
100nF capacitor, 7, Digikey,399-1169-1-ND, `399-1169-1-ND <https://www.digikey.com/product-detail/en/kemet/C0805C104M5RACTU/399-1169-1-ND/411444>`_
470nF capacitor, 6, Digikey, 478-9924-1-ND, `478-9924-1-ND <https://www.digikey.com/en/products/detail/avx-corporation/08051C474K4Z2A/6138220>`_
10uF capacitor, 2, Digikey, 490-10515-1-ND, `490-10515-1-ND <https://www.digikey.com/products/en?keywords=490-10515-1-ND>`_
15R Resistor, 2, Digikey, RK73H2ATTD15R0FCT-ND, `RK73H2ATTD15R0FCT-ND <https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RK73H2ATTD15R0F/10234281>`_
120R Resistor, 1, Digikey, A129738CT-ND, `A129738CT-ND <https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRGCQ0805F120R/8576340>`_
230R Resistor, 1, Digikey, RR12P240DCT-ND, `RR12P240DCT-ND <https://www.digikey.com/en/products/detail/susumu/RR1220P-241-D/432276>`_
1k Resistor, 5, Digikey, 311-1.00KCRCT-ND, `311-1.00KCRCT-ND <https://www.digikey.com/products/en?keywords=311-1.00KCRCT-ND%09>`_
3k Resistor, 1, Digikey, A126368CT-ND, `A126368CT-ND <https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0805F3K0/2380900>`_
